,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,ADP,AAP,AES,AFL,A,AIG,APD,AKAM,ALK,ALB,ARE
MMM,1.0,0.9672677720488915,0.9196863100911098,0.9175895778685105,0.8544397174061661,0.9499641636663056,0.9076855913147445,0.8903849844628706,0.9748977584658907,0.9857383070237654,0.9467320940481075,0.41588714531217,0.9242879290072397,0.9323144099211174,0.932588780477166,0.9841106553339319,0.799292435713624,0.9528227855609273,0.643040720384039,0.8976194960814767
AOS,0.9672677720488915,1.0,0.8752047702779417,0.8157263476936542,0.9301927130472754,0.9754302630586629,0.9584783377290387,0.7983562423473691,0.9777960313387599,0.9678289487105032,0.9177312532104566,0.2957662121302635,0.918185775226215,0.891454322825886,0.9112569552219991,0.9442964925812012,0.7369195638850419,0.9504944501898998,0.669368177766925,0.9154586424759509
ABT,0.9196863100911098,0.8752047702779417,1.0,0.8706080762713805,0.7238639655052201,0.8909554103342131,0.7729213887774651,0.8765579534363295,0.8775996897778859,0.9346979385445616,0.9249419650279004,0.43966617570030825,0.8160917029892059,0.8491531543329854,0.8956038603048786,0.9130092677508149,0.8014732152676962,0.9031380930105596,0.5000967241386115,0.7701422567422413
ABBV,0.9175895778685105,0.8157263476936542,0.8706080762713805,1.0,0.7580862458365281,0.7838799739242177,0.740370296713991,0.7685583269621276,0.8683431436666812,0.9046524788599184,0.8968128189276112,0.056811032430957815,0.7254714419408008,0.806842412120648,0.8839361944152794,0.9289128381446669,0.709837666750504,0.8434223623197287,0.22813039740470167,0.8414193088519669
ABMD,0.8544397174061661,0.9301927130472754,0.7238639655052201,0.7580862458365281,1.0,0.9043212457730694,0.9557267876271515,0.6276053879908403,0.9068132330890883,0.8630311431632667,0.8371167850918222,0.08404337023912813,0.7800785814621943,0.7524781350880901,0.7673327750068357,0.8479180009226877,0.6079086437047826,0.8900933038902507,0.5655372572788812,0.9231641362554798
ACN,0.9499641636663056,0.9754302630586629,0.8909554103342131,0.7838799739242177,0.9043212457730694,1.0,0.9330350440914155,0.7738672222514595,0.9541379855678201,0.9708576874974267,0.9214607736412624,0.28767079996222156,0.8767689409362058,0.8926952793571424,0.8875951340253697,0.9309675636064428,0.6927928693569817,0.9458305768893447,0.6933856173773907,0.891108141915127
ATVI,0.9076855913147445,0.9584783377290387,0.7729213887774651,0.740370296713991,0.9557267876271515,0.9330350440914155,1.0,0.6982995207805947,0.9604297025397828,0.902351569482182,0.8676307223254325,0.17465539628871607,0.8514061149903623,0.8228099135239474,0.8382517732488738,0.8868298115509239,0.641902771967472,0.914386043609584,0.614308196585347,0.9034250414889958
ADM,0.8903849844628706,0.7983562423473691,0.8765579534363295,0.7685583269621276,0.6276053879908403,0.7738672222514595,0.6982995207805947,1.0,0.8336760076790971,0.8652059757919597,0.8778375235185526,0.6555223485149981,0.8288907828665869,0.8747848698038461,0.880317361848482,0.9111058314967857,0.8617037361679911,0.8191943928858392,0.5365594291301157,0.7485688650008885
ADBE,0.9748977584658907,0.9777960313387599,0.8775996897778859,0.8683431436666812,0.9068132330890883,0.9541379855678201,0.9604297025397828,0.8336760076790971,1.0,0.9632826858710524,0.9346290286996838,0.3300733578964153,0.9158682338386307,0.8990373201263501,0.9218913036295986,0.9581162542685976,0.7687011653899148,0.96224240264962,0.6112874357817686,0.9041938094539343
ADP,0.9857383070237654,0.9678289487105032,0.9346979385445616,0.9046524788599184,0.8630311431632667,0.9708576874974267,0.902351569482182,0.8652059757919597,0.9632826858710524,1.0,0.9580631882687534,0.3705503644678485,0.8929604617893871,0.9181693886420733,0.9228686603119127,0.9763223092153601,0.7769889571018785,0.9655960818024398,0.6376017100714891,0.8870932415622848
AAP,0.9467320940481075,0.9177312532104566,0.9249419650279004,0.8968128189276112,0.8371167850918222,0.9214607736412624,0.8676307223254325,0.8778375235185526,0.9346290286996838,0.9580631882687534,1.0,0.3493122155503526,0.8335942999033963,0.8692086729314256,0.9110952388582207,0.9590416163701991,0.8315292871485462,0.966502628363135,0.5186897394665773,0.8612663501469392
